Respondent,S3_Recode,CATV_INSTALLATION_DATE,Churn_risk,CITY_NAME,CommercialProductName,COMMUNITY_NAME,ConvergedStatus,DTV_INSTALLATION_DATE,DTV_TIER_OPTION_NAME,Film1,FixedVoicePlan,FoxSportEDL,FoxSportINT,HasCATV,HasDTV,HasINT,HasTEL,INTERNET_INSTALLATION_DATE,INTERNET_TIER_OPTION_NAME,InternetSecurityType,IntSecurity_Benefit,Kids_Benefit,MediaBoxType,MoviesSeriesL,MoviesSeriesStd,MoviesSeriesXL,MSL_Benefit,PlayLevel,SALUTATION,TELEPHONY_INSTALLATION_DATE,TELEPHONY_TIER_OPTION_NAME,Tenure,TVContentPack,"Sport,"
1,MEDIUM RISK,43985.0,high,LEERDAM,Internet Complete & TV Start (2P),VIJFHEERENLANDEN,Not Converged,43970.0,Extra Channel Pack No Horizon,0,0,0,0,1,1,1,0,43970.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,1,0,TV + INT,Dhr.,0.0,0,0.789041096,Extra Channel Pack,"0,"
2,MEDIUM RISK,41626.0,mid,GELDROP,Internet Complete & TV Max (2P),GELDROP-MIERLO,Not Converged,41626.0,Extra Channel Pack Horizon,0,0,0,0,1,1,1,0,41626.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,0,1,0,TV + INT,Mevr.,41626.0,0,7.210.958.904,Extra Channel Pack,"0,"
3,HIGH RISK,40308.0,mid,KLIMMEN,Internet Complete & TV Start,VOERENDAAL,Not Converged,40308.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,40308.0,250 / 25 MBPS,SAFE ONLINE,0,0,0,0,0,0,0,TV + INT + TEL,Dhr.,40308.0,Vast Bellen,1.082.191.781,Standard Channel Pack,"0,"
4,LOYAL & LIGHT RISK,43220.0,high,VENRAY,Internet Start & TV Start (2P),VENRAY,Converged,43219.0,Standard Channel Pack No Horizon,0,0,0,0,1,1,1,0,43219.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX,1,0,0,1,TV + INT,Dhr.,0.0,0,2.846.575.342,Standard Channel Pack,"0,"
5,LOYAL & LIGHT RISK,42663.0,low,BUNDE,Internet Complete & TV Start,MEERSSEN,Converged,42663.0,Standard Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,42663.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,0,1,0,0,1,TV + INT + TEL,Dhr.,42663.0,Volop Bellen,4.369.863.014,Standard Channel Pack,"0,"
6,MEDIUM RISK,41879.0,low,SITTARD,Internet Start & TV Complete Next,SITTARD-GELEEN,Converged,41879.0,Standard Channel Pack No Horizon,0,Vast Bellen,1,0,1,1,1,1,41879.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,1,0,0,TV + INT + TEL,Dhr.,41879.0,Vast Bellen,6.517.808.219,Standard Channel Pack,"1,"
7,LOYAL & LIGHT RISK,43099.0,high,WILNIS,Internet Max & TV Max (2P),DE RONDE VENEN,Converged,43083.0,Extra Channel Pack Horizon,0,0,1,1,1,1,1,0,43083.0,500 / 50 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,0,0,1,0,TV + INT,Dhr.,0.0,0,3.219.178.082,Extra Channel Pack,"1,"
8,HIGH RISK,43133.0,low,BAKKEVEEN,Internet Complete & TV Complete (2P),OPSTERLAND,Converged,43133.0,Standard Channel Pack Horizon,0,0,0,0,1,1,1,0,43133.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT,Aan,0.0,0,3.082.191.781,Standard Channel Pack,"1,"
9,HIGH RISK,40330.0,low,ALKMAAR,Internet Complete & TV Max Next,ALKMAAR,Converged,40330.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42213.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,42213.0,Vast Bellen,1.076.164.384,Extra Channel Pack,"0,"
10,HIGH RISK,42237.0,low,VINKEL,Internet Start & TV Complete,S HERTOGENBOSCH,Converged,42237.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42237.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Mevr.,42237.0,Vast Bellen,5.536.986.301,Standard Channel Pack,"0,"
11,MEDIUM RISK,42658.0,low,VEGHEL,Internet Complete & TV Complete,MEIERIJSTAD,Converged,42658.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42658.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Dhr.,42658.0,Vast Bellen,4.383.561.644,Standard Channel Pack,"0,"
12,HIGH RISK,42437.0,mid,SAPPEMEER,Internet Max & TV Max Next,MIDDEN-GRONINGEN,Not Converged,39574.0,Extra Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,42437.0,500 / 50 MBPS,SAFE ONLINE,0,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,42437.0,Volop Bellen,1.283.287.671,Extra Channel Pack,"0,"
13,MEDIUM RISK,41732.0,mid,NIEUWE PEKELA,Internet Start & TV Max Next (zonder bellen),PEKELA,Converged,41732.0,Extra Channel Pack No Horizon,0,0,0,0,1,1,1,0,41732.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT,Dhr.,42091.0,0,1.263.287.671,Extra Channel Pack,"1,"
14,HIGH RISK,40745.0,high,VOORBURG,Alles-in-1 Basis (digitaal) (fZiggo),LEIDSCHENDAM-VOORBURG,Not Converged,40745.0,Standard Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,40745.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr./Mevr.,40745.0,Volop Bellen,9.624.657.534,Standard Channel Pack,"0,"
15,MEDIUM RISK,42671.0,low,UITGEEST,Internet Complete & TV Complete Next,UITGEEST,Converged,42671.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42671.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,1,0,0,TV + INT + TEL,Dhr.,42671.0,Vast Bellen,4.347.945.205,Standard Channel Pack,"1,"
16,HIGH RISK,42636.0,mid,UITHUIZEN,Internet Complete & TV Complete,HET HOGELAND,Not Converged,42636.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42636.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,42636.0,Vast Bellen,4.443.835.616,Standard Channel Pack,"1,"
17,MEDIUM RISK,40431.0,low,APPELSCHA,Alles-in-1 Basis (digitaal) (fZiggo),OOSTSTELLINGWERF,Not Converged,40431.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41677.0,50 / 5 MBPS,SAFE ONLINE,0,0,0,0,0,0,0,TV + INT + TEL,Dhr./Mevr.,41677.0,Vast Bellen,1.048.493.151,Standard Channel Pack,"0,"
18,LOYAL & LIGHT RISK,42390.0,low,ULFT,Internet Start & TV Complete (2P),OUDE IJSSELSTREEK,Converged,42398.0,Standard Channel Pack Horizon,0,0,0,0,1,1,1,0,42398.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT,Mevr.,42398.0,0,5.117.808.219,Standard Channel Pack,"0,"
19,MEDIUM RISK,43650.0,high,MAASTRICHT,Internet Complete & Kabel TV,MAASTRICHT,Converged,0.0,Cable TV,0,0,0,0,1,0,1,0,43648.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,0,0,0,0,0,TV + INT,Dhr.,0.0,0,1.671.232.877,Cable TV,"0,"
20,HIGH RISK,38744.0,mid,SINT ODILIENBERG,TV+INT Z2 (digitaal) (fZiggo),ROERDALEN,Not Converged,42634.0,Standard Channel Pack No Horizon,0,0,0,0,1,1,1,0,38744.0,250 / 25 MBPS,SAFE ONLINE,0,0,0,0,0,0,0,TV + INT,Dhr.,0.0,0,1.510.684.932,Standard Channel Pack,"0,"
