Respondent;S3_Recode;CATV_INSTALLATION_DATE;Churn_risk;CITY_NAME;CommercialProductName;COMMUNITY_NAME;ConvergedStatus;DTV_INSTALLATION_DATE;DTV_TIER_OPTION_NAME;Film1;FixedVoicePlan;FoxSportEDL;FoxSportINT;HasCATV;HasDTV;HasINT;HasTEL;INTERNET_INSTALLATION_DATE;INTERNET_TIER_OPTION_NAME;InternetSecurityType;IntSecurity_Benefit;Kids_Benefit;MediaBoxType;MoviesSeriesL;MoviesSeriesStd;MoviesSeriesXL;MSL_Benefit;PlayLevel;SALUTATION;TELEPHONY_INSTALLATION_DATE;TELEPHONY_TIER_OPTION_NAME;Tenure;TVContentPack;Sport,
1;MEDIUM RISK;43985;high;LEERDAM;Internet Complete & TV Start (2P);VIJFHEERENLANDEN;Not Converged;43970;Extra Channel Pack No Horizon;0;;0;0;1;1;1;0;43970;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;1;0;TV + INT;Dhr.;;;0.789041096;Extra Channel Pack;0,
2;MEDIUM RISK;41626;mid;GELDROP;Internet Complete & TV Max (2P);GELDROP-MIERLO;Not Converged;41626;Extra Channel Pack Horizon;0;;0;0;1;1;1;0;41626;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;0;1;0;TV + INT;Mevr.;41626;;7.210.958.904;Extra Channel Pack;0,
3;HIGH RISK;40308;mid;KLIMMEN;Internet Complete & TV Start;VOERENDAAL;Not Converged;40308;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;40308;250 / 25 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr.;40308;Vast Bellen;1.082.191.781;Standard Channel Pack;0,
4;LOYAL & LIGHT RISK;43220;high;VENRAY;Internet Start & TV Start (2P);VENRAY;Converged;43219;Standard Channel Pack No Horizon;0;;0;0;1;1;1;0;43219;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;1;0;0;1;TV + INT;Dhr.;;;2.846.575.342;Standard Channel Pack;0,
5;LOYAL & LIGHT RISK;42663;low;BUNDE;Internet Complete & TV Start;MEERSSEN;Converged;42663;Standard Channel Pack No Horizon;0;Volop Bellen;0;0;1;1;1;1;42663;250 / 25 MBPS;SAFE ONLINE XL;1;0;;1;0;0;1;TV + INT + TEL;Dhr.;42663;Volop Bellen;4.369.863.014;Standard Channel Pack;0,
6;MEDIUM RISK;41879;low;SITTARD;Internet Start & TV Complete Next;SITTARD-GELEEN;Converged;41879;Standard Channel Pack No Horizon;0;Vast Bellen;1;0;1;1;1;1;41879;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;41879;Vast Bellen;6.517.808.219;Standard Channel Pack;1,
7;LOYAL & LIGHT RISK;43099;high;WILNIS;Internet Max & TV Max (2P);DE RONDE VENEN;Converged;43083;Extra Channel Pack Horizon;0;;1;1;1;1;1;0;43083;500 / 50 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;0;0;1;0;TV + INT;Dhr.;;;3.219.178.082;Extra Channel Pack;1,
8;HIGH RISK;43133;low;BAKKEVEEN;Internet Complete & TV Complete (2P);OPSTERLAND;Converged;43133;Standard Channel Pack Horizon;0;;0;0;1;1;1;0;43133;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT;Aan;;;3.082.191.781;Standard Channel Pack;1,
9;HIGH RISK;40330;low;ALKMAAR;Internet Complete & TV Max Next;ALKMAAR;Converged;40330;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42213;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;42213;Vast Bellen;1.076.164.384;Extra Channel Pack;0,
10;HIGH RISK;42237;low;VINKEL;Internet Start & TV Complete;S HERTOGENBOSCH;Converged;42237;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42237;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT + TEL;Mevr.;42237;Vast Bellen;5.536.986.301;Standard Channel Pack;0,
11;MEDIUM RISK;42658;low;VEGHEL;Internet Complete & TV Complete;MEIERIJSTAD;Converged;42658;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42658;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT + TEL;Dhr.;42658;Vast Bellen;4.383.561.644;Standard Channel Pack;0,
12;HIGH RISK;42437;mid;SAPPEMEER;Internet Max & TV Max Next;MIDDEN-GRONINGEN;Not Converged;39574;Extra Channel Pack No Horizon;0;Volop Bellen;0;0;1;1;1;1;42437;500 / 50 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;42437;Volop Bellen;1.283.287.671;Extra Channel Pack;0,
13;MEDIUM RISK;41732;mid;NIEUWE PEKELA;Internet Start & TV Max Next (zonder bellen);PEKELA;Converged;41732;Extra Channel Pack No Horizon;0;;0;0;1;1;1;0;41732;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;0;1;0;TV + INT;Dhr.;42091;;1.263.287.671;Extra Channel Pack;1,
14;HIGH RISK;40745;high;VOORBURG;Alles-in-1 Basis (digitaal) (fZiggo);LEIDSCHENDAM-VOORBURG;Not Converged;40745;Standard Channel Pack No Horizon;0;Volop Bellen;0;0;1;1;1;1;40745;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr./Mevr.;40745;Volop Bellen;9.624.657.534;Standard Channel Pack;0,
15;MEDIUM RISK;42671;low;UITGEEST;Internet Complete & TV Complete Next;UITGEEST;Converged;42671;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42671;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;42671;Vast Bellen;4.347.945.205;Standard Channel Pack;1,
